tag,year,unanswered,total
Java,2012,22492,139053
C#,2012,21558,133438
JavaScript,2012,21781,130368
PHP,2012,21267,122002
Python,2012,7078,61807
C++,2012,6558,60775
Span,2012,9573,59913
Objective-C,2012,7636,44604
.NET,2012,6014,35486
C,2012,2522,29300
