tag,year,unanswered,total
JavaScript,2013,47419,184648
Java,2013,44998,177712
C#,2013,39470,157324
PHP,2013,43744,151688
Python,2013,17274,91360
Span,2013,22295,89838
C++,2013,13992,76666
Objective-C,2013,10869,44287
C,2013,5462,36865
C--,2013,5462,36865
